Year,Category,Amount,Row,Column
2000,Clothes,276.9,1,1
2000,Clothes,276.9,2,1
2000,Clothes,276.9,3,1
2000,Clothes,276.9,4,1
2000,Education,125.2,5,1
2000,Education,125.2,1,2
2000,Entertainment,379.3,2,2
2000,Entertainment,379.3,3,2
2000,Entertainment,379.3,4,2
2000,Entertainment,379.3,5,2
2000,Entertainment,379.3,1,3
2000,Entertainment,379.3,2,3
2000,Financial Services,360.0,3,3
2000,Financial Services,360.0,4,3
2000,Financial Services,360.0,5,3
2000,Financial Services,360.0,1,4
2000,Financial Services,360.0,2,4
2000,Giving,81.1,3,4
2000,Health,1608.4,4,4
2000,Health,1608.4,5,4
2000,Health,1608.4,1,5
2000,Health,1608.4,2,5
2000,Health,1608.4,3,5
2000,Health,1608.4,4,5
2000,Health,1608.4,5,5
2000,Health,1608.4,1,6
2000,Health,1608.4,2,6
2000,Health,1608.4,3,6
2000,Health,1608.4,4,6
2000,Health,1608.4,5,6
2000,Health,1608.4,1,7
2000,Health,1608.4,2,7
2000,Health,1608.4,3,7
2000,Health,1608.4,4,7
2000,Health,1608.4,5,7
2000,Health,1608.4,1,8
2000,Health,1608.4,2,8
2000,Health,1608.4,3,8
2000,Health,1608.4,4,8
2000,Health,1608.4,5,8
2000,Health,1608.4,1,9
2000,Health,1608.4,2,9
2000,Household,2733.3,3,9
2000,Household,2733.3,4,9
2000,Household,2733.3,5,9
2000,Household,2733.3,1,10
2000,Household,2733.3,2,10
2000,Household,2733.3,3,10
2000,Household,2733.3,4,10
2000,Household,2733.3,5,10
2000,Household,2733.3,1,11
2000,Household,2733.3,2,11
2000,Household,2733.3,3,11
2000,Household,2733.3,4,11
2000,Household,2733.3,5,11
2000,Household,2733.3,1,12
2000,Household,2733.3,2,12
2000,Household,2733.3,3,12
2000,Household,2733.3,4,12
2000,Household,2733.3,5,12
2000,Household,2733.3,1,13
2000,Household,2733.3,2,13
2000,Household,2733.3,3,13
2000,Household,2733.3,4,13
2000,Household,2733.3,5,13
2000,Household,2733.3,1,14
2000,Household,2733.3,2,14
2000,Household,2733.3,3,14
2000,Household,2733.3,4,14
2000,Household,2733.3,5,14
2000,Household,2733.3,1,15
2000,Household,2733.3,2,15
2000,Household,2733.3,3,15
2000,Household,2733.3,4,15
2000,Household,2733.3,5,15
2000,Household,2733.3,1,16
2000,Household,2733.3,2,16
2000,Household,2733.3,3,16
2000,Household,2733.3,4,16
2000,Household,2733.3,5,16
2000,Household,2733.3,1,17
2000,Household,2733.3,2,17
2000,Household,2733.3,3,17
2000,Travel,242.2,4,17
2000,Travel,242.2,5,17
2000,Travel,242.2,1,18
2000,Travel,242.2,2,18
2000,Vehicles,702.3,3,18
2000,Vehicles,702.3,4,18
2000,Vehicles,702.3,5,18
2000,Vehicles,702.3,1,19
2000,Vehicles,702.3,2,19
2000,Vehicles,702.3,3,19
2000,Vehicles,702.3,4,19
2000,Vehicles,702.3,5,19
2000,Vehicles,702.3,1,20
2000,Vehicles,702.3,2,20
2000,Vices,213.2,3,20
2000,Vices,213.2,4,20
2000,Vices,213.2,5,20
2001,Clothes,273.8,1,1
2001,Clothes,273.8,2,1
2001,Clothes,273.8,3,1
2001,Clothes,273.8,4,1
2001,Education,134.4,5,1
2001,Education,134.4,1,2
2001,Entertainment,394.8,2,2
2001,Entertainment,394.8,3,2
2001,Entertainment,394.8,4,2
2001,Entertainment,394.8,5,2
2001,Entertainment,394.8,1,3
2001,Entertainment,394.8,2,3
2001,Financial Services,341.2,3,3
2001,Financial Services,341.2,4,3
2001,Financial Services,341.2,5,3
2001,Financial Services,341.2,1,4
2001,Financial Services,341.2,2,4
2001,Giving,88.4,3,4
2001,Health,1754.5,4,4
2001,Health,1754.5,5,4
2001,Health,1754.5,1,5
2001,Health,1754.5,2,5
2001,Health,1754.5,3,5
2001,Health,1754.5,4,5
2001,Health,1754.5,5,5
2001,Health,1754.5,1,6
2001,Health,1754.5,2,6
2001,Health,1754.5,3,6
2001,Health,1754.5,4,6
2001,Health,1754.5,5,6
2001,Health,1754.5,1,7
2001,Health,1754.5,2,7
2001,Health,1754.5,3,7
2001,Health,1754.5,4,7
2001,Health,1754.5,5,7
2001,Health,1754.5,1,8
2001,Health,1754.5,2,8
2001,Health,1754.5,3,8
2001,Health,1754.5,4,8
2001,Health,1754.5,5,8
2001,Health,1754.5,1,9
2001,Health,1754.5,2,9
2001,Health,1754.5,3,9
2001,Household,2863.7,4,9
2001,Household,2863.7,5,9
2001,Household,2863.7,1,10
2001,Household,2863.7,2,10
2001,Household,2863.7,3,10
2001,Household,2863.7,4,10
2001,Household,2863.7,5,10
2001,Household,2863.7,1,11
2001,Household,2863.7,2,11
2001,Household,2863.7,3,11
2001,Household,2863.7,4,11
2001,Household,2863.7,5,11
2001,Household,2863.7,1,12
2001,Household,2863.7,2,12
2001,Household,2863.7,3,12
2001,Household,2863.7,4,12
2001,Household,2863.7,5,12
2001,Household,2863.7,1,13
2001,Household,2863.7,2,13
2001,Household,2863.7,3,13
2001,Household,2863.7,4,13
2001,Household,2863.7,5,13
2001,Household,2863.7,1,14
2001,Household,2863.7,2,14
2001,Household,2863.7,3,14
2001,Household,2863.7,4,14
2001,Household,2863.7,5,14
2001,Household,2863.7,1,15
2001,Household,2863.7,2,15
2001,Household,2863.7,3,15
2001,Household,2863.7,4,15
2001,Household,2863.7,5,15
2001,Household,2863.7,1,16
2001,Household,2863.7,2,16
2001,Household,2863.7,3,16
2001,Household,2863.7,4,16
2001,Household,2863.7,5,16
2001,Household,2863.7,1,17
2001,Household,2863.7,2,17
2001,Household,2863.7,3,17
2001,Household,2863.7,4,17
2001,Travel,231.2,5,17
2001,Travel,231.2,1,18
2001,Travel,231.2,2,18
2001,Vehicles,724.0,3,18
2001,Vehicles,724.0,4,18
2001,Vehicles,724.0,5,18
2001,Vehicles,724.0,1,19
2001,Vehicles,724.0,2,19
2001,Vehicles,724.0,3,19
2001,Vehicles,724.0,4,19
2001,Vehicles,724.0,5,19
2001,Vehicles,724.0,1,20
2001,Vehicles,724.0,2,20
2001,Vices,221.2,3,20
2001,Vices,221.2,4,20
2001,Vices,221.2,5,20
2002,Clothes,274.3,1,1
2002,Clothes,274.3,2,1
2002,Clothes,274.3,3,1
2002,Clothes,274.3,4,1
2002,Education,139.9,5,1
2002,Education,139.9,1,2
2002,Entertainment,413.4,2,2
2002,Entertainment,413.4,3,2
2002,Entertainment,413.4,4,2
2002,Entertainment,413.4,5,2
2002,Entertainment,413.4,1,3
2002,Entertainment,413.4,2,3
2002,Financial Services,347.3,3,3
2002,Financial Services,347.3,4,3
2002,Financial Services,347.3,5,3
2002,Financial Services,347.3,1,4
2002,Financial Services,347.3,2,4
2002,Giving,93.4,3,4
2002,Health,1904.2,4,4
2002,Health,1904.2,5,4
2002,Health,1904.2,1,5
2002,Health,1904.2,2,5
2002,Health,1904.2,3,5
2002,Health,1904.2,4,5
2002,Health,1904.2,5,5
2002,Health,1904.2,1,6
2002,Health,1904.2,2,6
2002,Health,1904.2,3,6
2002,Health,1904.2,4,6
2002,Health,1904.2,5,6
2002,Health,1904.2,1,7
2002,Health,1904.2,2,7
2002,Health,1904.2,3,7
2002,Health,1904.2,4,7
2002,Health,1904.2,5,7
2002,Health,1904.2,1,8
2002,Health,1904.2,2,8
2002,Health,1904.2,3,8
2002,Health,1904.2,4,8
2002,Health,1904.2,5,8
2002,Health,1904.2,1,9
2002,Health,1904.2,2,9
2002,Health,1904.2,3,9
2002,Health,1904.2,4,9
2002,Household,2947.1,5,9
2002,Household,2947.1,1,10
2002,Household,2947.1,2,10
2002,Household,2947.1,3,10
2002,Household,2947.1,4,10
2002,Household,2947.1,5,10
2002,Household,2947.1,1,11
2002,Household,2947.1,2,11
2002,Household,2947.1,3,11
2002,Household,2947.1,4,11
2002,Household,2947.1,5,11
2002,Household,2947.1,1,12
2002,Household,2947.1,2,12
2002,Household,2947.1,3,12
2002,Household,2947.1,4,12
2002,Household,2947.1,5,12
2002,Household,2947.1,1,13
2002,Household,2947.1,2,13
2002,Household,2947.1,3,13
2002,Household,2947.1,4,13
2002,Household,2947.1,5,13
2002,Household,2947.1,1,14
2002,Household,2947.1,2,14
2002,Household,2947.1,3,14
